Non-native Plant List,Non-native Animal List,,,,,Class B,Genus_species,Invasive_class,,,,,,,,,,
Ulmus pumila,,,,,,,Verbascum nigrum,VT Flora outside NA,,,,,,,,,,
Verbascum lychnitis,,,,,,,Verbena stricta,VT Flora outside NA,,,,,,,,,,
Verbascum nigrum,,,,,,,Veronica anagallis-aquatica,VT Flora outside NA,,,,,,,,,,
Verbena stricta,,,,,,,Veronia filiformis,VT Flora outside NA,,,,,,,,,,
Veronia filiformis,,,,,,,Veronia spuria,VT Flora outside NA,,,,,,,,,,
Veronia spuria,,,,,,,Viburnum lantana,VT Flora outside NA,,,,,,,,,,
Veronica anagallis-aquatica,,,,,,,Viburnum opulus var. opulus,VT Flora outside NA,,,,,,,,,,
Viburnum lantana,,,,,,,Wisteria sinensis,VT Flora outside NA,,,,,,,,,,
Viburnum opulus var. opulus,,,,,,,,,,,,,,,,,,
Vincetoxicum nigrum (syn: Cynanchum louiseae),,,,,,,,,,,,,,,,,,
Wisteria sinensis,,,,,,,,,,,,,,,,,,
Zea mays,,,,,,,,,,,,,,,,,,
