"species","year","cum_species"
"Plantago lanceolata",1877,904
"Platanthera clavellata",1877,904
"Hylodesmum glutinosum",1877,904
"Ceanothus herbaceus",1877,904
"Syzygiella autumnalis",1877,904
"Panax quinquefolius",1877,904
"Poa alsodes",1877,904
"Poa annua",1877,904
"Poa compressa",1877,904
"Poa fernaldiana",1877,904
"Poa interior",1877,904
"Poa laxa",1877,904
"Amaranthus albus",1877,904
"Poa nemoralis",1877,904
"Poa palustris",1877,904
"Poa pratensis",1877,904
"Poa saltuensis",1877,904
"Pogonatum dentatum",1877,904
"Oxalis montana",1877,904
"Pohlia nutans",1877,904
"Castilleja pallida",1877,904
"Trichophorum cespitosum",1877,904
"Osmunda spectabilis",1877,904
"Hypnum imponens",1877,904
"Osmorhiza longistylis",1877,904
"Xerocomellus chrysenteron",1877,904
"Eriophorum vaginatum",1877,904
"Galium palustre",1877,904
"Tortella humilis",1877,904
"Polygala senega",1877,904
"Erigeron philadelphicus",1877,904
"Carex virescens",1877,904
"Carex umbellata",1877,904
"Carex tenuiflora",1877,904
"Carex tenera",1877,904
"Hedysarum alpinum",1877,904
"Carex straminea",1877,904
"Phleum pratense",1877,904
"Icmadophila ericetorum",1877,904
"Hedwigia ciliata",1877,904
"Carex sparganioides",1877,904
"Cinna arundinacea",1877,904
"Carex prairea",1877,904
"Carex platyphylla",1877,904
"Carex pensylvanica",1877,904
"Carex pellita",1877,904
"Carex pedunculata",1877,904
"Woodsia alpina",1877,904
"Agrostis canina",1877,904
"Carex montana",1877,904
"Carex molesta",1877,904
"Stercorarius longicaudus",1877,904
"Carex michauxiana",1877,904
"Isoetes echinospora",1877,904
"Carex leptalea",1877,904
"Carex lenticularis",1877,904
"Carex laxiflora",1877,904
"Carex lasiocarpa",1877,904
"Weissia controversa",1877,904
"Gaultheria hispidula",1877,904
"Carex interior",1877,904
"Carex hystericina",1877,904
"Eurhynchium pulchellum",1877,904
"Sporobolus compositus",1877,904
"Juncus brachycephalus",1877,904
"Carex granularis",1877,904
"Spiranthes lucida",1877,904
"Carex gracillima",1877,904
